tenure_months,monthly_charges,total_charges,num_customer_service_calls,has_internet,has_phone,contract_type,paperless_billing,payment_method,churn
37,22.22,2145.78,1,0,0,2,1,3,0
44,69.82,2363.52,0,1,0,1,0,3,0
35,67.62,4952.67,3,0,0,2,0,2,1
65,103.14,101.16,9,0,1,0,1,0,0
47,50.78,1008.82,8,0,0,0,0,2,1
3,101.64,1981.42,6,1,0,1,0,3,0
1,116.8,4669.69,9,1,1,0,0,0,1
5,28.84,443.15,6,0,1,1,1,0,1
14,99.18,146.48,6,1,1,1,0,2,1
27,79.0,358.15,7,1,1,0,1,1,1
9,68.0,533.86,0,1,0,2,0,2,1
15,62.05,284.22,9,1,1,0,0,3,1
42,98.47,2450.93,9,0,1,0,0,3,0
51,83.94,2945.71,7,0,0,1,1,3,1
63,100.5,1431.27,3,1,0,0,1,3,0
52,110.32,2051.61,3,0,1,1,0,3,1
4,81.73,549.33,3,1,0,2,1,1,0
23,118.05,1748.22,5,1,1,2,0,0,1
15,80.81,2660.34,6,0,1,2,1,2,1
43,83.66,3688.13,5,0,0,0,1,2,0
29,75.48,116.4,0,0,0,1,0,3,1
36,29.1,2389.82,7,1,1,2,0,2,1
13,92.64,1555.31,9,0,1,1,0,3,1
32,74.74,4278.83,6,1,1,1,0,1,0
71,65.09,3606.21,5,0,0,2,1,1,1
59,111.05,2986.63,5,0,1,2,1,0,0
28,49.8,1458.6,4,1,1,1,1,1,1
66,72.36,4560.66,5,1,1,2,0,1,1
42,89.76,320.99,8,1,1,1,0,0,0
45,99.65,636.39,9,1,1,1,1,2,1
62,65.93,2018.99,8,1,0,2,0,3,1
57,104.21,709.74,9,1,1,0,1,3,0
6,96.89,4786.44,7,1,1,2,1,2,1
28,26.62,4010.15,9,1,1,0,1,0,0
28,24.59,1369.01,8,0,1,1,1,2,0
44,82.08,2983.92,9,1,0,1,1,1,0
30,54.74,4913.42,7,1,0,0,0,0,1
62,40.91,4432.57,7,0,0,1,0,0,0
62,77.96,3043.91,0,1,1,0,0,0,0
1,54.16,4528.25,9,0,1,0,1,3,1
27,73.73,4947.01,4,0,0,1,1,2,0
62,66.01,3742.43,3,1,0,0,1,0,1
3,78.48,418.43,1,0,0,2,1,0,1
70,60.03,2067.74,7,1,1,2,0,0,1
27,89.77,4205.35,2,0,1,1,0,2,1
9,38.01,1229.79,3,0,0,1,1,3,0
62,89.65,4170.15,6,0,0,0,1,1,0
37,61.17,689.66,9,1,0,0,1,3,0
51,107.43,330.03,8,1,1,0,0,0,0
44,71.52,1982.04,1,0,1,0,0,3,0
24,117.31,279.99,2,0,1,2,0,3,1
59,80.19,4790.62,3,1,0,2,1,1,0
32,42.38,4148.41,9,1,0,1,1,2,0
52,102.18,4023.77,0,0,1,0,0,2,0
62,54.51,3185.91,6,0,0,0,1,3,1
58,54.76,1159.99,1,1,1,1,0,3,1
52,23.18,2639.48,4,1,0,0,1,2,0
12,74.87,3026.64,0,1,0,0,0,2,1
39,73.44,2672.65,2,1,0,0,1,1,0
2,55.6,1375.14,1,1,0,0,0,0,0
3,109.42,2624.71,0,0,1,0,0,3,1
56,32.87,2506.81,6,1,0,1,0,2,1
59,53.01,4982.05,4,0,1,0,0,3,0
2,52.16,4497.44,0,1,1,1,0,3,0
2,29.23,2370.57,5,0,1,0,0,2,1
54,68.11,3152.39,4,1,0,2,1,1,0
1,88.78,3764.57,2,1,1,2,1,3,1
19,71.17,270.84,6,0,1,2,1,1,0
2,35.7,4485.12,9,0,1,2,0,2,1
53,57.73,4314.62,8,1,0,1,0,0,0
44,20.26,2341.42,8,1,0,1,1,0,0
32,106.83,2016.73,8,1,1,0,0,3,1
70,28.45,1437.5,1,1,0,2,0,2,0
32,79.73,2435.72,2,1,1,1,0,1,0
68,118.63,317.45,6,0,1,0,0,3,1
55,73.66,4275.75,4,0,0,0,0,2,0
56,112.4,273.57,1,1,1,1,1,2,0
17,43.61,1712.35,2,0,0,2,1,1,0
38,96.0,4664.79,9,0,0,0,1,3,1
24,73.13,3702.54,5,0,1,2,1,2,1
69,92.05,1478.82,6,1,0,2,1,2,1
70,26.23,1337.98,8,0,0,2,0,2,0
11,34.77,124.9,0,1,1,0,0,1,0
16,33.31,3509.0,6,0,1,2,0,3,0
59,88.72,339.04,7,1,0,0,0,3,0
70,104.44,2709.75,2,0,0,2,1,3,1
3,94.96,4814.4,3,1,1,0,1,3,0
20,23.05,636.4,9,1,0,2,1,0,0
59,106.72,4482.95,5,0,0,1,0,0,0
36,55.41,4958.23,9,1,0,2,1,3,1
19,59.72,401.43,6,1,0,2,0,1,0
67,30.49,4426.24,3,1,0,0,1,0,0
19,93.74,2628.79,7,1,0,0,1,2,0
20,38.23,4541.92,4,1,0,2,0,0,0
71,76.4,2899.46,0,1,1,1,0,2,0
52,104.07,3344.35,3,1,1,1,1,3,1
33,28.92,2764.52,2,1,1,0,1,0,0
40,73.53,4336.02,8,0,1,1,0,1,0
39,43.32,3696.16,7,0,1,2,1,0,0
1,54.29,2654.18,0,1,0,0,1,0,0
11,67.4,4353.99,5,1,0,2,0,0,0
57,55.51,1301.9,8,0,0,0,1,3,0
50,84.88,870.97,6,0,0,0,0,1,0
23,67.96,885.96,3,0,1,0,1,0,0
31,78.42,1736.64,0,1,0,0,0,1,0
42,93.68,1269.58,1,0,0,1,1,3,0
7,75.77,4657.44,4,1,1,2,0,2,1
16,78.65,618.59,4,1,0,2,1,0,1
60,76.45,3525.05,7,0,0,2,0,1,1
2,57.88,1027.19,5,1,1,0,1,1,1
1,53.74,4420.02,7,1,0,1,1,3,0
48,109.96,4810.44,1,1,0,2,1,0,1
12,80.76,2380.8,2,1,0,1,1,2,1
69,44.44,4407.45,5,0,0,0,1,1,0
37,69.82,125.21,9,0,0,2,1,0,1
32,53.03,4117.74,2,1,1,1,1,2,1
9,113.37,1220.26,5,1,1,0,1,1,0
19,20.75,4552.64,5,0,1,1,1,1,0
48,42.53,105.49,1,1,1,2,0,2,0
3,56.54,2825.29,6,0,1,2,0,2,1
20,68.78,3807.52,1,1,1,0,1,3,1
24,105.08,1367.57,5,1,0,0,0,0,0
54,28.79,1046.35,0,0,1,0,1,0,0
33,100.59,512.08,2,0,1,1,1,3,1
24,25.57,1699.52,1,0,0,1,0,1,0
36,104.23,2843.24,6,0,0,1,1,2,1
38,25.16,667.63,3,1,1,0,1,2,0
25,21.82,1945.81,7,0,0,2,0,2,0
18,89.7,144.45,5,1,1,2,0,1,1
66,119.73,4111.53,9,0,0,1,1,2,0
54,109.66,729.4,3,0,1,1,0,2,0
35,77.6,1488.38,4,1,0,2,0,3,0
61,111.74,190.3,8,0,0,2,1,1,1
41,20.53,2217.98,6,0,1,1,0,0,0
33,117.51,4216.6,9,0,1,1,0,3,0
68,69.07,2021.54,8,0,1,2,1,3,0
33,92.29,979.54,6,1,1,0,0,0,0
14,102.09,3793.12,0,1,1,1,0,3,0
21,91.85,3965.15,7,0,0,2,1,1,0
48,73.5,951.39,3,0,1,2,1,2,1
20,67.66,3877.19,2,0,1,2,1,1,1
8,103.86,4741.76,6,1,0,2,0,0,0
7,40.51,915.25,2,1,0,0,1,0,1
67,116.8,3877.82,7,1,1,2,1,3,1
17,91.1,3572.0,5,1,0,1,0,1,0
33,39.95,2420.51,4,0,0,0,1,1,1
48,93.62,383.81,3,0,1,2,1,0,1
59,72.98,466.0,7,0,0,0,1,1,1
22,90.72,4276.83,7,1,0,1,1,0,1
30,96.78,4951.73,0,0,1,2,0,1,1
38,28.73,3412.66,8,1,1,1,1,1,1
51,70.61,2285.2,4,1,0,2,1,1,1
54,113.2,3273.11,3,0,0,2,0,0,1
8,52.06,3012.54,5,0,1,2,1,3,0
27,79.39,1979.7,5,0,0,2,0,1,0
27,56.92,421.57,1,1,0,2,0,0,1
21,65.43,4125.41,7,1,0,0,0,0,1
30,74.86,1921.98,6,0,1,2,1,1,0
28,74.89,4112.05,0,0,0,2,0,1,1
64,40.17,1337.29,4,1,0,0,0,3,1
69,88.46,105.04,5,0,1,0,0,0,0
61,28.79,878.8,3,1,0,0,1,0,0
48,33.88,2395.84,1,1,0,0,1,2,0
19,20.27,4727.09,3,0,1,0,1,0,1
4,31.67,600.75,0,0,1,0,1,3,1
35,67.32,4285.63,6,0,1,2,1,2,0
64,80.61,2682.42,1,0,1,2,1,2,0
49,99.43,4147.01,1,1,0,1,1,2,1
17,30.67,1562.03,8,1,0,2,0,1,0
44,105.07,4215.74,4,1,1,2,0,1,1
30,94.6,3886.83,1,0,1,0,0,0,1
46,60.85,1227.26,8,1,0,0,0,2,0
6,113.29,743.54,8,0,1,2,1,3,0
37,119.09,4353.47,0,0,0,1,0,1,1
24,40.5,4819.86,2,0,1,0,0,3,0
46,57.92,253.38,3,0,0,2,0,3,0
53,112.64,3683.22,6,0,1,2,0,1,0
60,92.16,4556.67,9,0,1,1,1,1,0
63,24.81,4301.06,3,1,0,1,1,1,1
32,98.15,4826.15,1,0,1,0,1,1,1
33,102.79,3824.46,6,1,0,1,0,2,1
67,95.05,2267.26,5,1,0,2,1,2,1
18,99.95,1628.56,2,0,0,2,0,2,0
25,102.51,1671.64,5,0,0,1,1,2,0
54,38.64,3649.67,5,0,0,1,1,0,1
58,43.57,3754.6,4,1,1,1,1,2,1
67,83.38,1081.76,3,0,1,1,1,1,0
46,110.79,4353.8,9,1,0,0,1,3,1
24,51.62,3603.13,0,0,1,1,0,2,1
32,78.83,2857.48,9,0,0,0,1,0,0
47,88.3,2410.51,5,1,1,2,0,1,1
23,65.19,2761.84,1,1,1,1,0,3,0
66,91.38,880.3,2,0,1,0,0,3,0
27,109.97,1098.14,7,1,1,1,0,2,1
2,82.41,546.71,9,1,0,2,0,3,0
17,73.98,852.92,5,1,0,2,1,2,1
33,63.87,2323.1,2,1,1,2,1,2,0
9,77.75,2698.74,6,1,1,1,1,1,1
43,55.54,187.52,3,0,0,1,1,1,1
48,59.15,4004.31,8,0,1,0,0,0,1
39,73.19,1541.42,4,1,0,2,1,1,0
42,26.66,4568.0,2,0,0,1,1,1,0
26,42.9,4840.81,1,0,0,2,0,2,1
50,74.28,1008.75,1,1,1,2,0,1,0
25,63.15,2364.28,2,0,0,0,1,2,1
24,53.28,106.04,1,1,1,0,1,2,1
13,93.05,3031.8,3,1,0,0,0,1,0
60,89.37,3075.8,1,0,1,0,1,0,1
7,36.67,1312.95,9,1,1,2,1,0,0
57,107.86,2836.22,8,1,1,0,1,3,1
36,69.54,1205.15,1,1,0,0,1,3,0
45,94.15,888.04,8,1,0,0,0,1,1
20,77.32,3292.45,5,1,1,0,0,0,1
65,119.77,1697.03,0,0,1,2,0,2,0
8,95.24,2992.29,3,0,1,0,1,3,1
16,90.7,2222.91,0,1,0,2,1,2,1
14,97.86,4923.32,5,1,0,1,1,3,0
15,34.31,832.95,3,0,0,2,1,1,1
66,40.45,2376.53,2,1,0,2,1,0,0
32,91.41,3434.24,2,0,1,0,0,3,1
63,69.4,2038.17,8,1,1,1,1,0,0
51,95.46,4876.03,5,1,0,1,1,2,1
25,30.29,3637.25,8,1,0,1,0,1,1
58,73.65,3319.22,4,1,1,1,1,0,1
63,57.88,3809.59,1,1,0,2,0,1,0
62,65.7,4767.98,7,1,0,1,0,0,0
22,80.4,4548.31,4,1,0,2,0,2,0
58,70.23,3649.0,1,0,0,2,0,2,0
58,73.99,3770.89,3,0,0,2,0,1,1
49,68.64,815.02,8,0,0,1,1,2,1
52,60.9,603.68,3,1,1,0,0,3,0
42,97.19,2897.43,3,1,0,0,0,0,0
70,21.22,190.0,1,1,0,1,1,2,0
15,79.84,2463.55,5,1,1,0,1,3,1
54,76.55,1130.71,1,1,1,0,0,1,0
60,91.62,1795.48,6,1,1,2,1,3,0
8,79.9,3901.44,2,1,0,2,1,1,1
53,102.68,4712.06,2,0,1,1,0,1,1
60,115.91,454.84,4,1,0,1,0,0,0
5,54.25,2717.79,2,0,0,0,1,0,1
68,42.74,4424.41,1,0,0,2,0,3,0
6,62.36,504.29,9,1,1,1,0,0,1
47,48.79,4140.12,8,1,1,1,1,0,0
55,81.5,1853.23,1,0,1,1,0,0,0
40,111.19,1678.26,1,0,1,1,0,3,0
52,33.91,4889.59,7,1,1,1,0,2,0
16,30.08,1084.21,8,1,0,1,0,0,1
13,45.6,3496.65,6,0,0,0,0,0,1
30,92.61,4125.06,2,1,0,2,1,3,1
19,79.3,301.8,8,1,0,2,1,2,1
17,30.22,3384.89,2,1,1,1,0,0,0
63,111.88,4762.59,4,0,1,2,1,1,0
19,99.01,708.68,8,0,0,2,0,3,1
58,22.3,4491.48,2,0,1,2,0,0,1
55,85.14,3014.41,6,1,1,1,0,0,1
62,97.12,3121.36,0,1,0,1,0,1,1
23,57.44,3103.43,3,0,0,2,0,1,1
9,26.89,1564.3,3,0,1,2,1,3,0
12,27.73,4682.49,6,0,1,1,1,3,0
1,30.42,4742.02,7,1,0,0,0,1,0
58,104.04,3163.99,0,0,0,2,1,3,1
1,111.07,3938.77,4,0,0,0,0,1,1
34,32.28,3100.06,6,1,1,2,1,0,1
48,43.59,2473.55,3,1,0,0,0,1,1
1,36.55,3338.02,3,1,0,0,1,1,0
16,38.63,2809.71,3,0,1,0,0,2,0
61,103.75,3027.63,5,1,1,1,0,1,1
64,53.21,3940.78,6,1,1,0,1,1,0
63,51.14,2456.43,1,0,1,0,1,2,0
69,42.74,299.7,4,1,1,0,0,3,1
22,80.79,903.6,3,0,0,2,1,2,1
67,57.93,2249.18,2,0,0,0,0,0,1
26,94.42,3651.65,6,1,1,2,1,2,1
16,40.56,3007.07,5,1,1,0,1,0,1
51,98.78,3286.44,6,1,1,0,0,3,1
57,80.37,2448.47,4,1,1,1,1,2,0
29,31.43,3117.14,5,1,1,2,1,2,0
69,61.45,1712.19,4,1,0,0,0,3,1
47,106.35,2403.89,6,0,0,2,1,0,0
62,112.3,3746.97,1,0,0,2,0,2,1
69,66.57,4371.98,4,1,0,1,0,0,1
16,68.08,2224.91,5,0,1,1,0,2,1
48,111.85,313.94,5,1,0,1,0,1,1
39,78.71,892.2,4,0,1,1,0,2,0
33,23.28,202.22,9,0,1,1,1,3,1
23,111.27,3300.99,6,0,1,1,0,3,0
10,44.82,1728.34,9,1,0,1,0,0,1
69,77.76,2758.15,7,0,1,1,1,2,1
34,36.55,2517.06,6,1,0,0,1,0,1
52,23.39,499.48,4,0,0,2,1,0,0
10,51.15,2075.98,0,0,1,1,0,1,1
19,98.05,1180.75,4,0,1,1,0,1,1
58,47.76,2150.16,9,0,1,2,0,3,1
1,42.01,1097.53,1,0,0,0,1,0,0
69,41.27,4218.22,4,1,1,2,0,3,0
4,71.52,953.55,4,1,0,2,1,2,0
16,117.55,4807.82,1,0,1,1,0,0,1
24,65.9,2137.95,4,0,1,2,1,0,0
2,75.73,4246.6,3,0,0,2,0,2,1
32,106.06,3180.95,0,0,0,1,0,2,0
24,73.51,3703.22,2,1,0,1,0,3,0
12,38.45,3861.85,0,0,0,1,1,3,1
50,49.96,2573.74,4,1,0,1,1,2,0
35,50.99,2762.17,3,0,0,2,0,3,1
33,59.73,2618.58,6,1,1,2,0,2,1
33,62.68,2981.49,4,0,1,0,0,0,0
61,99.98,244.03,9,0,0,0,1,0,1
51,54.94,2038.02,3,1,1,2,0,1,1
43,66.82,3070.32,1,0,0,0,0,0,0
12,82.5,3028.85,3,0,1,2,0,2,0
67,57.77,3985.48,1,0,1,0,0,3,1
65,103.66,3309.55,7,1,0,1,1,1,0
33,78.75,4961.45,2,0,0,0,1,3,1
40,49.4,1490.89,8,0,0,1,0,2,1
43,91.41,1859.84,3,1,1,1,0,0,0
44,72.76,1980.85,5,1,0,1,1,1,0
29,73.45,2382.48,9,1,1,1,1,2,0
13,68.11,4196.39,4,0,0,0,0,1,0
12,69.7,1255.38,9,0,1,2,1,1,1
46,96.54,3902.4,0,0,1,1,1,0,1
2,30.3,2086.02,8,1,0,0,0,2,0
35,53.44,3049.09,0,0,1,1,1,3,0
8,27.55,3199.45,7,0,1,0,1,1,1
26,95.32,1926.96,8,1,0,0,0,1,1
34,47.23,2611.81,8,1,1,0,0,3,1
7,109.74,2123.85,0,1,0,2,1,2,1
68,72.66,438.75,1,1,0,0,0,1,0
58,100.07,2242.11,0,1,0,0,1,1,1
29,117.89,577.23,9,0,0,2,0,1,1
36,103.98,2084.6,1,1,1,2,1,2,0
21,106.7,3005.3,9,0,1,0,0,2,1
36,60.8,2939.13,7,0,1,2,1,3,1
10,75.17,3346.84,4,1,0,1,1,2,0
24,45.39,566.78,6,1,1,1,1,2,0
64,39.61,3295.4,1,1,1,2,0,0,0
49,70.55,1629.53,7,0,0,2,0,3,1
36,79.5,2055.33,5,1,0,0,1,1,1
24,53.93,4304.13,7,1,1,2,1,2,0
23,76.94,144.25,0,1,0,0,0,1,0
62,108.75,2983.22,0,1,0,1,0,1,1
37,75.67,3033.7,6,1,0,2,0,0,0
12,92.08,2043.63,7,0,0,0,0,2,0
55,100.53,1261.44,2,0,1,0,0,3,0
13,118.87,1249.9,4,0,0,1,0,2,1
23,80.32,4430.18,0,1,0,2,1,1,1
30,100.69,2265.92,6,1,0,1,0,3,1
17,116.26,1721.36,4,1,0,0,1,2,1
62,114.44,2299.01,7,0,0,0,0,1,1
13,34.11,3380.01,7,1,0,2,0,1,1
59,60.64,814.21,8,1,0,0,1,0,0
19,52.4,2302.23,6,1,0,2,1,0,1
49,28.69,2980.63,0,0,1,1,0,0,1
12,83.32,4748.06,2,1,0,2,1,1,0
61,93.59,1337.39,7,0,1,2,1,2,1
19,104.81,1860.33,2,1,0,0,1,0,1
9,32.28,1958.86,7,0,0,0,1,2,0
71,107.64,3067.14,0,0,0,2,0,0,0
28,84.29,1847.99,4,0,0,0,1,3,0
52,90.39,2714.21,3,1,1,0,0,3,1
16,111.06,3930.77,4,1,0,0,0,0,0
69,82.48,3556.39,7,0,0,2,0,1,1
12,53.59,2287.21,9,0,1,0,0,0,1
25,102.51,4334.66,3,1,1,2,1,0,1
52,56.31,2834.89,3,1,0,0,1,1,1
53,23.42,2745.54,2,0,1,1,0,3,0
23,103.07,267.52,6,1,1,0,0,2,0
16,54.52,4934.8,2,1,1,0,0,0,1
57,97.38,702.56,2,1,0,2,0,1,0
39,56.28,1232.54,9,1,0,2,1,0,1
53,106.11,353.31,4,0,0,0,0,1,1
42,41.95,3236.01,4,1,1,1,1,2,1
58,117.45,1201.04,5,1,0,0,0,2,0
39,97.98,982.05,7,0,1,0,0,3,1
14,31.42,533.92,9,0,0,1,0,1,1
5,76.58,606.21,5,1,0,2,0,1,0
35,118.54,2964.89,0,1,1,0,1,3,0
18,67.11,3472.22,7,1,0,2,1,3,0
9,38.21,2047.16,7,1,1,2,1,1,0
58,68.48,2451.5,8,0,1,1,0,3,1
17,71.25,3461.24,8,0,0,1,0,2,0
7,94.17,185.16,1,0,1,2,1,0,1
46,89.88,1683.34,1,1,0,0,1,2,0
13,60.26,4868.18,2,1,0,2,0,3,0
40,41.8,2942.55,0,1,1,0,0,1,0
42,84.51,1345.7,3,1,0,0,1,1,0
9,62.17,2656.48,3,0,1,1,0,2,0
50,33.23,1779.0,8,0,0,0,0,1,0
27,110.06,2708.0,8,1,0,0,1,3,1
66,89.12,716.13,8,0,0,2,0,2,0
5,88.32,750.3,9,1,0,1,1,1,0
29,102.26,803.36,6,1,0,0,0,0,0
37,72.97,4705.12,1,0,1,0,1,0,0
38,101.51,3691.2,9,1,1,1,0,3,1
8,69.81,895.67,4,1,1,2,1,1,0
65,26.72,1022.91,3,0,1,1,1,3,0
17,60.52,3681.06,7,1,1,1,1,2,0
71,69.75,865.2,1,1,1,0,1,0,0
45,92.02,1249.35,5,0,0,0,0,2,1
4,30.66,4820.4,4,1,0,2,0,1,0
36,34.0,1351.0,1,0,1,0,1,3,1
70,46.37,3342.0,9,1,1,0,0,3,0
31,46.65,4895.29,0,0,0,1,0,3,1
19,93.22,1934.05,7,0,0,0,0,2,1
61,45.07,185.83,1,0,0,2,0,0,0
54,83.31,1296.32,6,1,1,1,0,2,0
